# Exported from gene cards searching for "growth factor" in "summary" on 2022-01-14
Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"AGT","Angiotensinogen","Protein Coding","47","GC01M230702","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"BMP4","Bone Morphogenetic Protein 4","Protein Coding","47","GC14M053949","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"INPPL1","Inositol Polyphosphate Phosphatase Like 1","Protein Coding","47","GC11P072223","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPPL1"
"IL6","Interleukin 6","Protein Coding","47","GC07P022725","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"NOTCH2","Notch Receptor 2","Protein Coding","47","GC01M119911","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2"
"LYN","LYN Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","47","GC08P055879","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYN"
"SMAD3","SMAD Family Member 3","Protein Coding","47","GC15P067063","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"PIM1","Pim-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","47","GC06P070299","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM1"
"COL2A1","Collagen Type II Alpha 1 Chain","Protein Coding","46","GC12M047972","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL2A1"
"ADAM9","ADAM Metallopeptidase Domain 9","Protein Coding","46","GC08P038996","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM9"
"GRB2","Growth Factor Receptor Bound Protein 2","Protein Coding","46","GC17M075318","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB2"
"FES","FES Proto-Oncogene, Tyrosine Kinase","Protein Coding","46","GC15P090883","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FES"
"ITGA5","Integrin Subunit Alpha 5","Protein Coding","46","GC12M054683","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA5"
"F12","Coagulation Factor XII","Protein Coding","46","GC05M177402","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F12"
"PTK6","Protein Tyrosine Kinase 6","Protein Coding","46","GC20M063528","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK6"
"SMAD2","SMAD Family Member 2","Protein Coding","46","GC18M047809","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2"
"GPX1","Glutathione Peroxidase 1","Protein Coding","45","GC03M050609","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX1"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","45","GC11M002261","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"ITGB6","Integrin Subunit Beta 6","Protein Coding","45","GC02M160099","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB6"
"FYN","FYN Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","45","GC06M111660","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYN"
"MEF2A","Myocyte Enhancer Factor 2A","Protein Coding","45","GC15P099565","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2A"
"TGFBR3","Transforming Growth Factor Beta Receptor 3","Protein Coding","45","GC01M091680","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR3"
"ARAF","A-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","44","GC0XP047562","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARAF"
"ACVR1B","Activin A Receptor Type 1B","Protein Coding","44","GC12P051951","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1B"
"BMP1","Bone Morphogenetic Protein 1","Protein Coding","44","GC08P022164","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP1"
"BMP2","Bone Morphogenetic Protein 2","Protein Coding","44","GC20P006696","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"AVP","Arginine Vasopressin","Protein Coding","44","GC20M003082","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVP"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","44","GC11M027654","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","44","GC04P122826","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"FER","FER Tyrosine Kinase","Protein Coding","44","GC05P108747","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FER"
"ENG","Endoglin","Protein Coding","44","GC09M127815","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"HSPG2","Heparan Sulfate Proteoglycan 2","Protein Coding","44","GC01M021822","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPG2"
"GDF5","Growth Differentiation Factor 5","Protein Coding","44","GC20M035433","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF5"
"LEP","Leptin","Protein Coding","44","GC07P128241","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"LIFR","LIF Receptor Subunit Alpha","Protein Coding","44","GC05M038475","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIFR"
"EPS8","Epidermal Growth Factor Receptor Pathway Substrate 8","Protein Coding","44","GC12M018295","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPS8"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","44","GC11P112961","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"MAP2K5","Mitogen-Activated Protein Kinase Kinase 5","Protein Coding","44","GC15P087014","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K5"
"MS4A1","Membrane Spanning 4-Domains A1","Protein Coding","44","GC11P060493","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MS4A1"
"NRG1","Neuregulin 1","Protein Coding","44","GC08P031639","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG1"
"TRAF6","TNF Receptor Associated Factor 6","Protein Coding","44","GC11M036467","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6"
"ST14","ST14 Transmembrane Serine Protease Matriptase","Protein Coding","44","GC11P130159","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST14"
"RIT1","Ras Like Without CAAX 1","Protein Coding","44","GC01M155897","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIT1"
"NOG","Noggin","Protein Coding","44","GC17P056593","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOG"
"SH2B3","SH2B Adaptor Protein 3","Protein Coding","44","GC12P111405","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B3"
"TGFB3","Transforming Growth Factor Beta 3","Protein Coding","44","GC14M075958","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3"
"USP15","Ubiquitin Specific Peptidase 15","Protein Coding","44","GC12P062260","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP15"
"SMAD9","SMAD Family Member 9","Protein Coding","44","GC13M036844","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD9"
"UGDH","UDP-Glucose 6-Dehydrogenase","Protein Coding","44","GC04M039502","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGDH"
"ACVR2A","Activin A Receptor Type 2A","Protein Coding","43","GC02P147844","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR2A"
"ANGPTL3","Angiopoietin Like 3","Protein Coding","43","GC01P062597","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL3"
"BMP7","Bone Morphogenetic Protein 7","Protein Coding","43","GC20M057168","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7"
"IRS2","Insulin Receptor Substrate 2","Protein Coding","43","GC13M109752","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS2"
"HTRA1","HtrA Serine Peptidase 1","Protein Coding","43","GC10P122461","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA1"
"GFER","Growth Factor, Augmenter Of Liver Regeneration","Protein Coding","43","GC16P001984","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFER"
"OSMR","Oncostatin M Receptor","Protein Coding","43","GC05P038845","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSMR"
"NOTCH4","Notch Receptor 4","Protein Coding","43","GC06M056539","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH4"
"MST1","Macrophage Stimulating 1","Protein Coding","43","GC03M049683","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1"
"SORL1","Sortilin Related Receptor 1","Protein Coding","43","GC11P121452","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1"
"SEMA4A","Semaphorin 4A","Protein Coding","43","GC01P156147","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA4A"
"PDE1C","Phosphodiesterase 1C","Protein Coding","43","GC07M031616","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE1C"
"RICTOR","RPTOR Independent Companion Of MTOR Complex 2","Protein Coding","43","GC05M038937","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RICTOR"
"TGFBI","Transforming Growth Factor Beta Induced","Protein Coding","43","GC05P136027","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBI"
"DLK1","Delta Like Non-Canonical Notch Ligand 1","Protein Coding","42","GC14P107984","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLK1"
"AGRN","Agrin","Protein Coding","42","GC01P001020","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRN"
"BAMBI","BMP And Activin Membrane Bound Inhibitor","Protein Coding","42","GC10P028685","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAMBI"
"BCL2L11","BCL2 Like 11","Protein Coding","42","GC02P111119","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11"
"FCER2","Fc Epsilon Receptor II","Protein Coding","42","GC19M007689","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCER2"
"FGF13","Fibroblast Growth Factor 13","Protein Coding","42","GC0XM138615","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF13"
"IGF2BP2","Insulin Like Growth Factor 2 MRNA Binding Protein 2","Protein Coding","42","GC03M185643","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP2"
"IGFALS","Insulin Like Growth Factor Binding Protein Acid Labile Subunit","Protein Coding","42","GC16M001790","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFALS"
"IL17RD","Interleukin 17 Receptor D","Protein Coding","42","GC03M057089","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RD"
"EFEMP2","EGF Containing Fibulin Extracellular Matrix Protein 2","Protein Coding","42","GC11M080040","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFEMP2"
"ENPP2","Ectonucleotide Pyrophosphatase/Phosphodiesterase 2","Protein Coding","42","GC08M119556","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP2"
"GAB2","GRB2 Associated Binding Protein 2","Protein Coding","42","GC11M078215","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAB2"
"GH1","Growth Hormone 1","Protein Coding","42","GC17M063917","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"CNTNAP2","Contactin Associated Protein 2","Protein Coding","42","GC07P146116","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP2"
"POFUT1","Protein O-Fucosyltransferase 1","Protein Coding","42","GC20P032207","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POFUT1"
"INHBA","Inhibin Subunit Beta A","Protein Coding","42","GC07M041668","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBA"
"IL2","Interleukin 2","Protein Coding","42","GC04M122451","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"MYBL2","MYB Proto-Oncogene Like 2","Protein Coding","42","GC20P043667","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBL2"
"MAPK4","Mitogen-Activated Protein Kinase 4","Protein Coding","42","GC18P050564","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK4"
"MAP3K14","Mitogen-Activated Protein Kinase Kinase Kinase 14","Protein Coding","42","GC17M045263","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K14"
"MAP3K6","Mitogen-Activated Protein Kinase Kinase Kinase 6","Protein Coding","42","GC01M027354","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K6"
"LINGO1","Leucine Rich Repeat And Ig Domain Containing 1","Protein Coding","42","GC15M077613","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINGO1"
"MSTN","Myostatin","Protein Coding","42","GC02M190055","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTN"
"WIF1","WNT Inhibitory Factor 1","Protein Coding","42","GC12M065050","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WIF1"
"TFE3","Transcription Factor Binding To IGHM Enhancer 3","Protein Coding","42","GC0XM049028","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFE3"
"TFF1","Trefoil Factor 1","Protein Coding","42","GC21M042362","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF1"
"TIE1","Tyrosine Kinase With Immunoglobulin Like And EGF Like Domains 1","Protein Coding","42","GC01P043300","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIE1"
"SOCS1","Suppressor Of Cytokine Signaling 1","Protein Coding","42","GC16M011607","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS1"
"VAV2","Vav Guanine Nucleotide Exchange Factor 2","Protein Coding","42","GC09M133761","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV2"
"COL6A1","Collagen Type VI Alpha 1 Chain","Protein Coding","41","GC21P045981","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A1"
"DAB2","DAB Adaptor Protein 2","Protein Coding","41","GC05M039371","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2"
"AMH","Anti-Mullerian Hormone","Protein Coding","41","GC19P002274","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMH"
"KLF10","Kruppel Like Factor 10","Protein Coding","41","GC08M102648","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF10"
"LGALS1","Galectin 1","Protein Coding","41","GC22P037675","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS1"
"IL12A","Interleukin 12A","Protein Coding","41","GC03P159988","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12A"
"MDK","Midkine","Protein Coding","41","GC11P046380","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDK"
"LCP2","Lymphocyte Cytosolic Protein 2","Protein Coding","41","GC05M170246","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCP2"
"SORT1","Sortilin 1","Protein Coding","41","GC01M109310","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORT1"
"SPINT2","Serine Peptidase Inhibitor, Kunitz Type 2","Protein Coding","41","GC19P038244","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINT2"
"SKIL","SKI Like Proto-Oncogene","Protein Coding","41","GC03P170357","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKIL"
"RPS6KA6","Ribosomal Protein S6 Kinase A6","Protein Coding","41","GC0XM084058","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA6"
"NTF4","Neurotrophin 4","Protein Coding","41","GC19M057403","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTF4"
"SH2B1","SH2B Adaptor Protein 1","Protein Coding","41","GC16P037638","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B1"
"ASPH","Aspartate Beta-Hydroxylase","Protein Coding","40","GC08M061500","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPH"
"CTNND2","Catenin Delta 2","Protein Coding","40","GC05M010971","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNND2"
"CXCL1","C-X-C Motif Chemokine Ligand 1","Protein Coding","40","GC04P073869","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL1"
"BAG1","BAG Cochaperone 1","Protein Coding","40","GC09M033245","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG1"
"CCDC88A","Coiled-Coil Domain Containing 88A","Protein Coding","40","GC02M055287","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC88A"
"CELSR2","Cadherin EGF LAG Seven-Pass G-Type Receptor 2","Protein Coding","40","GC01P109250","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR2"
"CELSR1","Cadherin EGF LAG Seven-Pass G-Type Receptor 1","Protein Coding","40","GC22M046360","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR1"
"CEP57","Centrosomal Protein 57","Protein Coding","40","GC11P095789","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP57"
"CSF1","Colony Stimulating Factor 1","Protein Coding","40","GC01P109911","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1"
"ELAC2","ElaC Ribonuclease Z 2","Protein Coding","40","GC17M012991","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAC2"
"IGFBP5","Insulin Like Growth Factor Binding Protein 5","Protein Coding","40","GC02M216672","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP5"
"LEMD3","LEM Domain Containing 3","Protein Coding","40","GC12P065169","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEMD3"
"EMP2","Epithelial Membrane Protein 2","Protein Coding","40","GC16M010541","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMP2"
"GPC1","Glypican 1","Protein Coding","40","GC02P240435","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC1"
"INHA","Inhibin Subunit Alpha","Protein Coding","40","GC02P219569","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHA"
"NMBR","Neuromedin B Receptor","Protein Coding","40","GC06M142059","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMBR"
"NTF3","Neurotrophin 3","Protein Coding","40","GC12P005432","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTF3"
"MAP3K10","Mitogen-Activated Protein Kinase Kinase Kinase 10","Protein Coding","40","GC19P040191","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K10"
"NDP","Norrin Cystine Knot Growth Factor NDP","Protein Coding","40","GC0XM043948","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP"
"MEGF10","Multiple EGF Like Domains 10","Protein Coding","40","GC05P127230","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEGF10"
"PTTG1","PTTG1 Regulator Of Sister Chromatid Separation, Securin","Protein Coding","40","GC05P160422","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTTG1"
"NRG3","Neuregulin 3","Protein Coding","40","GC10P088456","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG3"
"ZFYVE9","Zinc Finger FYVE-Type Containing 9","Protein Coding","40","GC01P052142","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFYVE9"
"STAM","Signal Transducing Adaptor Molecule","Protein Coding","40","GC10P017670","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAM"
"SMAD5","SMAD Family Member 5","Protein Coding","40","GC05P136132","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD5"
"SIRPA","Signal Regulatory Protein Alpha","Protein Coding","40","GC20P001894","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRPA"
"RYK","Receptor Like Tyrosine Kinase","Protein Coding","40","GC03M134065","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYK"
"NRXN3","Neurexin 3","Protein Coding","40","GC14P077980","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN3"
"RHBDF2","Rhomboid 5 Homolog 2","Protein Coding","40","GC17M076470","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDF2"
"TCF7L1","Transcription Factor 7 Like 1","Protein Coding","40","GC02P085133","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L1"
"SOCS5","Suppressor Of Cytokine Signaling 5","Protein Coding","40","GC02P046698","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS5"
"SPRED2","Sprouty Related EVH1 Domain Containing 2","Protein Coding","40","GC02M065307","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRED2"
"SELL","Selectin L","Protein Coding","40","GC01M169690","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELL"
"CNTF","Ciliary Neurotrophic Factor","Protein Coding","39","GC11P058622","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTF"
"AGAP2","ArfGAP With GTPase Domain, Ankyrin Repeat And PH Domain 2","Protein Coding","39","GC12M057723","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGAP2"
"ADAMTSL2","ADAMTS Like 2","Protein Coding","39","GC09P133840","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTSL2"
"ANGPTL1","Angiopoietin Like 1","Protein Coding","39","GC01M178818","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL1"
"EGFL7","EGF Like Domain Multiple 7","Protein Coding","39","GC09P136658","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFL7"
"LIF","LIF Interleukin 6 Family Cytokine","Protein Coding","39","GC22M030240","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIF"
"LIMS1","LIM Zinc Finger Domain Containing 1","Protein Coding","39","GC02P108534","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMS1"
"KANK1","KN Motif And Ankyrin Repeat Domains 1","Protein Coding","39","GC09P000474","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KANK1"
"EHD1","EH Domain Containing 1","Protein Coding","39","GC11M079959","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHD1"
"HGFAC","HGF Activator","Protein Coding","39","GC04P003443","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGFAC"
"IL7","Interleukin 7","Protein Coding","39","GC08M078689","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"PCSK6","Proprotein Convertase Subtilisin/Kexin Type 6","Protein Coding","39","GC15M112396","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK6"
"PAPPA","Pappalysin 1","Protein Coding","39","GC09P117750","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA"
"NTNG1","Netrin G1","Protein Coding","39","GC01P107140","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTNG1"
"LTBP4","Latent Transforming Growth Factor Beta Binding Protein 4","Protein Coding","39","GC19P040592","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP4"
"LRIG2","Leucine Rich Repeats And Immunoglobulin Like Domains 2","Protein Coding","39","GC01P113073","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRIG2"
"PTPN18","Protein Tyrosine Phosphatase Non-Receptor Type 18","Protein Coding","39","GC02P130356","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN18"
"NRG2","Neuregulin 2","Protein Coding","39","GC05M139810","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG2"
"TSC22D1","TSC22 Domain Family Member 1","Protein Coding","39","GC13M044432","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC22D1"
"REG1A","Regenerating Family Member 1 Alpha","Protein Coding","39","GC02P079120","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REG1A"
"THPO","Thrombopoietin","Protein Coding","39","GC03M184371","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THPO"
"SNX1","Sorting Nexin 1","Protein Coding","39","GC15P064094","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX1"
"ZMYM2","Zinc Finger MYM-Type Containing 2","Protein Coding","39","GC13P019978","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMYM2"
"ADGRE2","Adhesion G Protein-Coupled Receptor E2","Protein Coding","38","GC19M014733","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRE2"
"ASPN","Asporin","Protein Coding","38","GC09M092458","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPN"
"BAG5","BAG Cochaperone 5","Protein Coding","38","GC14M103556","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG5"
"CELSR3","Cadherin EGF LAG Seven-Pass G-Type Receptor 3","Protein Coding","38","GC03M048641","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR3"
"AMBN","Ameloblastin","Protein Coding","38","GC04P070593","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMBN"
"CD320","CD320 Molecule","Protein Coding","38","GC19M008302","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD320"
"GMFB","Glia Maturation Factor Beta","Protein Coding","38","GC14M054474","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMFB"
"FAT1","FAT Atypical Cadherin 1","Protein Coding","38","GC04M186587","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAT1"
"ESM1","Endothelial Cell Specific Molecule 1","Protein Coding","38","GC05M054977","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESM1"
